S. No,Order ID,Order Date,Ship Date (Bluesky Logistics),Ship Mode (Bluesky Logistics),Country,City,Postal Code,Region,Product ID,Product Name (by Designer),Sales (INR), Cost (INR),Quantity,Profit (INR),Turnaround time (days),Delivery status,ship mode
547,CA-2017-162929,43058,43061,First Class,India,Tiruvananthapuram,10035,East,OFF-BI-10000404,Plain T-shirt,41.28,27.348,6,13.932,3,Late delivery,Regular Air
548,CA-2017-162929,43058,43061,First Class,India,Tiruvananthapuram,10035,East,OFF-PA-10002986,Plain T-shirt,13.36,6.9472,2,6.4128,3,Late delivery,Regular Air
549,CA-2015-113173,42323,42325,Second Class,India,Tiruvananthapuram,60653,Central,OFF-ST-10000604,Plain T-shirt,250.272,234.63,9,15.642,7,Shipping on time,Delivery Truck
550,CA-2015-113173,42323,42325,Second Class,India,Tiruvananthapuram,60653,Central,OFF-BI-10004738,Plain T-shirt,11.364,28.41,3,-17.046,7,Late delivery,Express Air
551,CA-2015-113173,42323,42325,Second Class,India,Tiruvananthapuram,60653,Central,OFF-SU-10001935,Plain T-shirt,8.72,10.464,5,-1.744,7,Late delivery,Regular Air
552,CA-2016-136406,42475,42477,Second Class,India,Tiruvananthapuram,94110,West,FUR-CH-10002024,Plain T-shirt,1121.568,1121.568,2,0,7,Late delivery,Regular Air
553,CA-2017-112774,42989,42990,First Class,India,Tiruvananthapuram,32216,South,FUR-FU-10003039,Plain T-shirt,34.504,28.4658,1,6.0382,3,Late delivery,Regular Air
554,CA-2017-101945,43063,43067,Standard Class,India,Tiruvananthapuram,77070,Central,OFF-FA-10004248,Plain T-shirt,10.824,8.2533,3,2.5707,10,Late delivery,Delivery Truck
555,CA-2017-100650,42915,42919,Second Class,India,Tiruvananthapuram,92804,West,OFF-ST-10001780,Plain T-shirt,1295.78,984.7928,2,310.9872,7,Late delivery,Regular Air
556,CA-2014-155852,41701,41705,Second Class,India,Tiruvananthapuram,28403,South,OFF-AR-10003560,Plain T-shirt,19.456,16.0512,4,3.4048,7,Late delivery,Regular Air
557,CA-2016-113243,42531,42536,Standard Class,India,Tiruvananthapuram,90045,West,OFF-LA-10001297,Plain T-shirt,20.7,10.764,2,9.936,10,Late delivery,Regular Air
558,CA-2016-113243,42531,42536,Standard Class,India,Tiruvananthapuram,90045,West,FUR-TA-10004256,Plain T-shirt,1335.68,1552.728,4,-217.048,10,Late delivery,Regular Air
559,CA-2016-113243,42531,42536,Standard Class,India,Tiruvananthapuram,90045,West,OFF-PA-10003441,Plain T-shirt,32.4,16.848,5,15.552,10,Late delivery,Regular Air
560,CA-2017-118731,43059,43061,Second Class,India,Tiruvananthapuram,94110,West,FUR-FU-10003347,Plain T-shirt,42.6,25.986,3,16.614,7,Late delivery,Regular Air
561,CA-2017-118731,43059,43061,Second Class,India,Tiruvananthapuram,94110,West,OFF-BI-10000069,Plain T-shirt,84.056,56.7378,7,27.3182,7,Late delivery,Regular Air
562,CA-2014-145576,41896,41900,Second Class,India,Tiruvananthapuram,33614,South,OFF-AP-10003914,Plain T-shirt,13,11.7,5,1.3,7,Late delivery,Regular Air
563,CA-2014-145576,41896,41900,Second Class,India,Tiruvananthapuram,33614,South,FUR-FU-10004020,Plain T-shirt,13.128,9.3537,3,3.7743,7,Shipping on time,Regular Air
564,CA-2015-130736,42345,42347,First Class,India,Tiruvananthapuram,98105,West,OFF-FA-10003467,Plain T-shirt,3.96,3.96,2,0,3,Late delivery,Express Air
565,CA-2015-130736,42345,42347,First Class,India,Tiruvananthapuram,98105,West,OFF-LA-10000634,Plain T-shirt,2.61,1.4094,1,1.2006,3,Shipping on time,Regular Air
566,CA-2017-137099,43076,43079,First Class,India,Tiruvananthapuram,90008,West,TEC-PH-10002496,Plain T-shirt,374.376,327.579,3,46.797,3,Shipping on time,Regular Air
567,CA-2017-156951,43009,43016,Standard Class,India,Tiruvananthapuram,98105,West,OFF-PA-10004530,Plain T-shirt,91.84,46.8384,8,45.0016,10,Late delivery,Regular Air
568,CA-2017-156951,43009,43016,Standard Class,India,Mumbai,98105,West,OFF-BI-10001107,Printed Full sleeves,81.088,53.7208,7,27.3672,10,Late delivery,Regular Air
569,CA-2017-156951,43009,43016,Standard Class,India,Mumbai,98105,West,OFF-PA-10004451,Printed Full sleeves,19.44,10.1088,3,9.3312,10,Late delivery,Express Air
570,CA-2017-156951,43009,43016,Standard Class,India,Mumbai,98105,West,FUR-CH-10004997,Printed Full sleeves,451.152,451.152,3,0,10,Late delivery,Regular Air
571,CA-2017-164826,43097,43104,Standard Class,India,Mumbai,10024,East,OFF-LA-10001297,Printed Full sleeves,72.45,37.674,7,34.776,10,Shipping on time,Regular Air
572,CA-2017-164826,43097,43104,Standard Class,India,Mumbai,10024,East,OFF-FA-10000585,Printed Full sleeves,13.96,7.5384,4,6.4216,10,Shipping on time,Regular Air
573,CA-2017-164826,43097,43104,Standard Class,India,Mumbai,10024,East,OFF-BI-10001922,Printed Full sleeves,33.264,22.0374,7,11.2266,10,Late delivery,Regular Air
574,CA-2017-164826,43097,43104,Standard Class,India,Mumbai,10024,East,TEC-PH-10000347,Printed Full sleeves,14.85,10.8405,3,4.0095,10,Late delivery,Delivery Truck
575,CA-2016-127250,42677,42681,Standard Class,India,Mumbai,98270,West,OFF-AR-10003394,Printed Full sleeves,8.82,6.4386,3,2.3814,10,Shipping on time,Regular Air
576,CA-2015-149713,42265,42269,Second Class,India,Mumbai,90805,West,OFF-PA-10004530,Printed Full sleeves,160.72,81.9672,14,78.7528,7,Late delivery,Regular Air
577,CA-2015-149713,42265,42269,Second Class,India,Mumbai,90805,West,OFF-PA-10001450,Printed Full sleeves,19.92,10.1592,4,9.7608,7,Shipping on time,Regular Air
578,CA-2015-149713,42265,42269,Second Class,India,Mumbai,90805,West,OFF-SU-10001574,Printed Full sleeves,7.3,5.11,2,2.19,7,Late delivery,Regular Air
579,CA-2017-118640,42936,42942,Standard Class,India,Mumbai,60610,Central,OFF-ST-10002974,Printed Full sleeves,69.712,60.998,2,8.714,10,Late delivery,Regular Air
580,CA-2017-118640,42936,42942,Standard Class,India,Mumbai,60610,Central,FUR-FU-10001475,Printed Full sleeves,8.792,14.5068,1,-5.7148,10,Late delivery,Express Air
581,CA-2015-132906,42257,42261,Standard Class,India,Mumbai,90004,West,OFF-SU-10004498,Printed Full sleeves,51.52,49.9744,4,1.5456,10,Late delivery,Regular Air
582,CA-2017-145233,43070,43074,Standard Class,India,Mumbai,80219,West,TEC-PH-10004977,Printed Full sleeves,470.376,417.4587,3,52.9173,10,Late delivery,Delivery Truck
583,CA-2017-145233,43070,43074,Standard Class,India,Mumbai,80219,West,TEC-PH-10000586,Printed Full sleeves,105.584,96.3454,2,9.23860000000001,10,Late delivery,Delivery Truck
584,CA-2017-145233,43070,43074,Standard Class,India,Mumbai,80219,West,OFF-AP-10000358,Printed Full sleeves,31.152,27.6474,3,3.5046,10,Late delivery,Regular Air
585,CA-2017-145233,43070,43074,Standard Class,India,Mumbai,80219,West,OFF-BI-10002764,Printed Full sleeves,6.783,11.5311,7,-4.7481,10,Late delivery,Regular Air
586,CA-2017-145233,43070,43074,Standard Class,India,Mumbai,80219,West,TEC-PH-10001254,Printed Full sleeves,406.368,375.8904,4,30.4776,10,Late delivery,Regular Air
587,CA-2015-128139,42188,42194,Standard Class,India,Mumbai,40475,South,FUR-CH-10003956,Printed Full sleeves,70.98,66.0114,1,4.9686,10,Late delivery,Express Air
588,CA-2015-128139,42188,42194,Standard Class,India,Mumbai,40475,South,OFF-LA-10003930,Printed Full sleeves,294.93,150.4143,3,144.5157,10,Late delivery,Regular Air
589,US-2016-156986,42449,42453,Standard Class,India,Mumbai,97301,West,TEC-PH-10003800,Printed Full sleeves,84.784,104.9202,2,-20.1362,10,Late delivery,Delivery Truck
590,US-2016-156986,42449,42453,Standard Class,India,Mumbai,97301,West,OFF-PA-10002005,Printed Full sleeves,20.736,13.4784,4,7.2576,10,Late delivery,Regular Air
591,US-2016-156986,42449,42453,Standard Class,India,Mumbai,97301,West,OFF-BI-10002498,Printed Full sleeves,16.821,29.7171,3,-12.8961,10,Late delivery,Regular Air
592,US-2016-156986,42449,42453,Standard Class,India,Hyderabad,97301,West,OFF-PA-10004101,Printed Full sleeves,10.368,6.7392,2,3.6288,10,Shipping on time,Delivery Truck
593,CA-2014-135405,41648,41652,Standard Class,India,Hyderabad,78041,Central,OFF-AR-10004078,Printed Full sleeves,9.344,8.176,2,1.168,10,Late delivery,Express Air
594,CA-2014-135405,41648,41652,Standard Class,India,Hyderabad,78041,Central,TEC-AC-10001266,Printed Full sleeves,31.2,21.45,3,9.75,10,Late delivery,Regular Air
595,CA-2014-131450,41859,41866,Standard Class,India,Hyderabad,92024,West,OFF-AP-10004708,Printed Full sleeves,76.12,54.0452,2,22.0748,10,Late delivery,Regular Air
596,CA-2014-131450,41859,41866,Standard Class,India,Hyderabad,92024,West,TEC-CO-10004115,Printed Full sleeves,1199.976,764.9847,3,434.9913,10,Late delivery,Regular Air
597,CA-2014-131450,41859,41866,Standard Class,India,Hyderabad,92024,West,TEC-PH-10002398,Printed Full sleeves,445.96,390.215,5,55.745,10,Late delivery,Regular Air
598,CA-2014-131450,41859,41866,Standard Class,India,Hyderabad,92024,West,FUR-FU-10001979,Printed Full sleeves,327.76,235.9872,8,91.7728,10,Late delivery,Regular Air
599,CA-2016-120180,42565,42567,First Class,India,Hyderabad,19134,East,OFF-SU-10004115,Printed Full sleeves,11.632,10.6142,2,1.0178,3,Late delivery,Regular Air
600,US-2016-100720,42567,42572,Standard Class,India,Hyderabad,19120,East,TEC-PH-10001425,Printed Full sleeves,143.982,172.7784,3,-28.7964,10,Late delivery,Delivery Truck
601,US-2016-100720,42567,42572,Standard Class,India,Hyderabad,19120,East,TEC-PH-10003963,Printed Full sleeves,494.376,609.7304,4,-115.3544,10,Late delivery,Regular Air
602,US-2016-100720,42567,42572,Standard Class,India,Hyderabad,19120,East,OFF-SU-10001574,Printed Full sleeves,5.84,5.11,2,0.73,10,Late delivery,Regular Air
603,CA-2014-149958,41713,41717,Standard Class,India,Hyderabad,33614,South,OFF-ST-10001490,Printed Full sleeves,142.776,124.929,1,17.847,10,Shipping on time,Express Air
604,CA-2014-149958,41713,41717,Standard Class,India,Hyderabad,33614,South,FUR-FU-10001756,Printed Full sleeves,45.696,40.5552,3,5.14079999999999,10,Late delivery,Regular Air
605,CA-2014-149958,41713,41717,Standard Class,India,Hyderabad,33614,South,OFF-BI-10000773,Printed Full sleeves,7.218,12.7518,3,-5.5338,10,Late delivery,Regular Air
606,CA-2014-149958,41713,41717,Standard Class,India,Hyderabad,33614,South,OFF-BI-10001543,Printed Full sleeves,43.188,74.8592,4,-31.6712,10,Late delivery,Delivery Truck
607,CA-2014-149958,41713,41717,Standard Class,India,Hyderabad,33614,South,OFF-PA-10002120,Printed Full sleeves,131.904,84.0888,3,47.8152,10,Late delivery,Regular Air
608,US-2014-105767,41782,41786,Standard Class,India,Hyderabad,19134,East,OFF-BI-10000848,Printed Full sleeves,3.282,5.9076,2,-2.6256,10,Shipping on time,Regular Air
609,US-2014-105767,41782,41786,Standard Class,India,Hyderabad,19134,East,OFF-AR-10001246,Printed Full sleeves,21.168,18.7866,9,2.3814,10,Late delivery,Regular Air
610,US-2014-105767,41782,41786,Standard Class,India,Hyderabad,19134,East,TEC-PH-10003092,Printed Full sleeves,55.188,65.3058,2,-10.1178,10,Late delivery,Regular Air
611,CA-2016-161816,42488,42491,First Class,India,Hyderabad,75217,Central,TEC-PH-10003012,Printed Full sleeves,369.576,327.9987,3,41.5773,3,Late delivery,Express Air
612,CA-2016-161816,42488,42491,First Class,India,Hyderabad,75217,Central,OFF-LA-10004345,Printed Full sleeves,15.712,10.0164,4,5.6956,3,Late delivery,Express Air
613,CA-2016-121223,42624,42626,Second Class,India,Hyderabad,19143,East,OFF-PA-10001204,Printed Full sleeves,8.448,5.808,2,2.64,7,Late delivery,Regular Air
614,CA-2016-121223,42624,42626,Second Class,India,Hyderabad,19143,East,TEC-PH-10004667,Printed Full sleeves,728.946,886.8843,9,-157.9383,7,Late delivery,Regular Air
615,CA-2017-138611,43053,43056,Second Class,India,Hyderabad,43123,East,TEC-PH-10000011,Printed Full sleeves,119.94,103.948,10,15.992,7,Late delivery,Regular Air
616,CA-2017-138611,43053,43056,Second Class,India,Hyderabad,43123,East,OFF-BI-10002949,Printed Full sleeves,3.648,6.4448,2,-2.7968,7,Late delivery,Express Air
617,CA-2017-117947,42965,42970,Second Class,India,Hyderabad,10011,East,FUR-FU-10003849,Printed Full sleeves,40.48,24.6928,2,15.7872,7,Late delivery,Regular Air
618,CA-2017-117947,42965,42970,Second Class,India,Hyderabad,10011,East,FUR-FU-10000010,Printed Full sleeves,9.94,6.8586,2,3.0814,7,Late delivery,Regular Air
619,CA-2017-117947,42965,42970,Second Class,India,Hyderabad,10011,East,OFF-BI-10002824,Printed Full sleeves,107.424,73.854,9,33.57,7,Late delivery,Regular Air
620,CA-2017-117947,42965,42970,Second Class,India,Hyderabad,10011,East,TEC-PH-10002538,Printed Full sleeves,37.91,26.9161,1,10.9939,7,Late delivery,Regular Air
621,CA-2017-117947,42965,42970,Second Class,India,Hyderabad,10011,East,FUR-FU-10000521,Plain Full sleeves,88.02,60.7338,3,27.2862,7,Late delivery,Delivery Truck
622,US-2014-111171,41999,42004,Standard Class,India,Hyderabad,60610,Central,OFF-BI-10002103,Plain Full sleeves,8.69,23.463,5,-14.773,10,Late delivery,Regular Air
623,CA-2015-138009,42337,42341,Standard Class,India,Hyderabad,48126,Central,FUR-CH-10004853,Plain Full sleeves,301.96,214.3916,2,87.5684,10,Late delivery,Regular Air
624,CA-2015-138009,42337,42341,Standard Class,India,Hyderabad,48126,Central,OFF-AP-10000179,Plain Full sleeves,555.21,376.309,5,178.901,10,Late delivery,Regular Air
625,CA-2015-138009,42337,42341,Standard Class,India,Hyderabad,48126,Central,OFF-ST-10001272,Plain Full sleeves,523.48,392.61,4,130.87,10,Late delivery,Regular Air
626,CA-2015-138009,42337,42341,Standard Class,India,Hyderabad,48126,Central,OFF-AR-10004042,Plain Full sleeves,161.82,114.8922,9,46.9278,10,Late delivery,Regular Air
627,CA-2017-163020,42993,42997,Standard Class,India,Hyderabad,10009,East,FUR-FU-10000221,Plain Full sleeves,35.56,23.4696,7,12.0904,10,Late delivery,Regular Air
628,CA-2017-153787,42874,42878,Standard Class,India,Hyderabad,98115,West,OFF-AP-10001563,Plain Full sleeves,97.16,68.9836,2,28.1764,10,Late delivery,Regular Air
629,CA-2017-133431,43086,43090,Standard Class,India,Hyderabad,94122,West,OFF-BI-10000605,Plain Full sleeves,15.24,10.0965,5,5.1435,10,Late delivery,Regular Air
630,CA-2017-133431,43086,43090,Standard Class,India,Hyderabad,94122,West,OFF-PA-10002615,Plain Full sleeves,13.23,7.1442,3,6.0858,10,Late delivery,Delivery Truck
631,US-2016-135720,42715,42717,Second Class,India,Hyderabad,80013,West,OFF-ST-10001963,Plain Full sleeves,243.384,295.1031,3,-51.7191,7,Late delivery,Regular Air
632,US-2016-135720,42715,42717,Second Class,India,Hyderabad,80013,West,TEC-AC-10001267,Plain Full sleeves,119.8,89.85,5,29.95,7,Late delivery,Delivery Truck
633,US-2016-135720,42715,42717,Second Class,India,Hyderabad,80013,West,TEC-PH-10002103,Plain Full sleeves,300.768,270.6912,4,30.0768,7,Late delivery,Delivery Truck
634,CA-2017-144694,43002,43004,Second Class,India,Hyderabad,33180,South,TEC-AC-10002857,Plain Full sleeves,17.88,15.4215,3,2.4585,7,Late delivery,Regular Air
635,CA-2017-144694,43002,43004,Second Class,India,Hyderabad,33180,South,OFF-LA-10003930,Plain Full sleeves,235.944,150.4143,3,85.5297,7,Shipping on time,Regular Air
636,CA-2015-168004,42281,42286,Second Class,India,Hyderabad,31088,South,FUR-CH-10001482,Plain Full sleeves,392.94,349.7166,3,43.2234,7,Late delivery,Regular Air
637,US-2016-123470,42597,42603,Standard Class,India,Hyderabad,80013,West,OFF-BI-10001989,Plain Full sleeves,18.882,32.7288,3,-13.8468,10,Late delivery,Regular Air
638,US-2016-123470,42597,42603,Standard Class,India,Hyderabad,80013,West,OFF-AP-10003287,Plain Full sleeves,122.328,110.0952,3,12.2328,10,Late delivery,Regular Air
639,CA-2016-115917,42510,42515,Standard Class,India,Hyderabad,94591,West,FUR-FU-10000576,Plain Full sleeves,1049.2,776.408,5,272.792,10,Late delivery,Express Air
640,CA-2016-115917,42510,42515,Standard Class,India,Hyderabad,94591,West,OFF-BI-10004728,Plain Full sleeves,15.424,10.4112,4,5.0128,10,Late delivery,Regular Air
641,CA-2016-147067,42722,42726,Standard Class,India,Hyderabad,55407,Central,FUR-FU-10000732,Plain Full sleeves,18.84,12.8112,3,6.0288,10,Late delivery,Regular Air
642,CA-2017-167913,42946,42950,Second Class,India,Hyderabad,92691,West,OFF-ST-10000585,Plain Full sleeves,330.4,244.496,2,85.904,7,Advance shipping,Express Air
643,CA-2017-167913,42946,42950,Second Class,India,Hyderabad,92691,West,OFF-LA-10002787,Plain Full sleeves,26.25,13.65,7,12.6,7,Advance shipping,Regular Air
644,CA-2017-106103,42896,42901,Standard Class,India,Hyderabad,48307,Central,TEC-AC-10003832,Plain Full sleeves,132.52,78.1868,4,54.3332,10,Late delivery,Regular Air
645,US-2017-127719,42937,42941,Standard Class,India,Bengaluru,7060,East,OFF-PA-10001934,Plain Full sleeves,6.48,3.3048,1,3.1752,10,Advance shipping,Regular Air
646,CA-2017-126221,43099,43105,Standard Class,India,Bengaluru,47201,Central,OFF-AP-10002457,Plain Full sleeves,209.3,152.789,2,56.511,10,Late delivery,Express Air
647,CA-2016-103947,42461,42468,Standard Class,India,Bengaluru,85635,West,OFF-FA-10003112,Plain Full sleeves,31.56,21.6975,5,9.8625,10,Advance shipping,Delivery Truck
648,CA-2016-103947,42461,42468,Standard Class,India,Bengaluru,85635,West,OFF-AP-10002350,Plain Full sleeves,30.144,27.1296,2,3.0144,10,Advance shipping,Express Air
649,CA-2016-160745,42715,42720,Second Class,India,Bengaluru,98661,West,FUR-FU-10001935,Plain Full sleeves,14.8,8.732,4,6.068,7,Late delivery,Regular Air
650,CA-2016-160745,42715,42720,Second Class,India,Bengaluru,98661,West,TEC-PH-10003273,Plain Full sleeves,302.376,279.6978,3,22.6782,7,Advance shipping,Regular Air
651,CA-2016-160745,42715,42720,Second Class,India,Bengaluru,98661,West,TEC-AC-10001142,Plain Full sleeves,316,284.4,4,31.6,7,Late delivery,Regular Air
652,CA-2016-132661,42666,42672,Standard Class,India,Bengaluru,10024,East,OFF-PA-10000482,Plain Full sleeves,379.4,201.082,10,178.318,10,Advance shipping,Delivery Truck
653,CA-2017-140844,42905,42909,Standard Class,India,Bengaluru,10035,East,OFF-PA-10003892,Plain Full sleeves,97.82,51.8446,2,45.9754,10,Advance shipping,Regular Air
654,CA-2017-140844,42905,42909,Standard Class,India,Bengaluru,10035,East,TEC-AC-10001101,Plain Full sleeves,103.12,92.808,8,10.312,10,Late delivery,Delivery Truck
655,CA-2016-137239,42604,42610,Standard Class,India,Bengaluru,43229,East,OFF-AP-10002439,Plain Full sleeves,113.552,105.0356,2,8.51639999999999,10,Advance shipping,Regular Air
656,CA-2016-137239,42604,42610,Standard Class,India,Bengaluru,43229,East,OFF-BI-10002827,Plain Full sleeves,3.318,5.9724,2,-2.6544,10,Late delivery,Regular Air
657,CA-2016-137239,42604,42610,Standard Class,India,Bengaluru,43229,East,OFF-EN-10002230,Plain Full sleeves,134.288,88.9658,2,45.3222,10,Advance shipping,Regular Air
658,US-2016-156097,42632,42632,First Class,India,Bengaluru,60505,Central,FUR-CH-10001215,Plain Full sleeves,701.372,751.47,2,-50.098,3,Late delivery,Delivery Truck
659,US-2016-156097,42632,42632,First Class,India,Bengaluru,60505,Central,OFF-BI-10004654,Plain Full sleeves,2.308,5.77,2,-3.462,3,Shipping on time,Express Air
660,CA-2015-146563,42240,42244,Standard Class,India,Bengaluru,76017,Central,OFF-ST-10001490,Plain Full sleeves,999.432,874.503,7,124.929,10,Advance shipping,Regular Air
661,CA-2015-146563,42240,42244,Standard Class,India,Bengaluru,76017,Central,OFF-ST-10001511,Plain Full sleeves,724.08,859.845,14,-135.765,10,Shipping on time,Regular Air
662,CA-2015-146563,42240,42244,Standard Class,India,Bengaluru,76017,Central,FUR-TA-10001768,Plain Full sleeves,918.785,1036.9145,5,-118.1295,10,Advance shipping,Regular Air
663,CA-2015-146563,42240,42244,Standard Class,India,Bengaluru,76017,Central,OFF-BI-10003981,Plain Full sleeves,2.724,6.9462,3,-4.2222,10,Shipping on time,Regular Air
664,CA-2016-123666,42455,42459,Standard Class,India,Bengaluru,10011,East,OFF-ST-10001522,Plain Full sleeves,459.95,441.552,5,18.398,10,Late delivery,Express Air
665,CA-2016-143308,42678,42678,First Class,India,Bengaluru,40214,South,OFF-FA-10000621,Plain Full sleeves,10.74,5.4774,3,5.2626,3,Advance shipping,Regular Air
666,CA-2017-132682,42894,42896,Second Class,India,Bengaluru,75081,Central,OFF-SU-10004231,Plain Full sleeves,23.76,21.681,3,2.079,7,Shipping on time,Regular Air
667,CA-2017-132682,42894,42896,Second Class,India,Bengaluru,75081,Central,OFF-PA-10000474,Plain Full sleeves,85.056,56.3496,3,28.7064,7,Late delivery,Regular Air
668,CA-2017-132682,42894,42896,Second Class,India,Bengaluru,75081,Central,TEC-PH-10004042,Plain Full sleeves,381.576,352.9578,3,28.6182,7,Advance shipping,Express Air
669,CA-2014-156314,41997,41999,First Class,India,Bengaluru,44105,East,FUR-FU-10003096,Plain Full sleeves,30.36,21.6315,5,8.7285,3,Advance shipping,Regular Air
670,US-2017-106663,42895,42899,Standard Class,India,Bengaluru,60653,Central,FUR-FU-10002759,Plain Full sleeves,23.976,38.3616,3,-14.3856,10,Advance shipping,Regular Air
671,US-2017-106663,42895,42899,Standard Class,India,Bengaluru,60653,Central,FUR-TA-10000688,Plain Full sleeves,108.925,180.8155,1,-71.8905,10,Advance shipping,Regular Air
672,US-2017-106663,42895,42899,Standard Class,India,Bengaluru,60653,Central,OFF-PA-10002377,Plain Full sleeves,36.352,24.992,8,11.36,10,Late delivery,Regular Air
673,CA-2017-111178,42901,42908,Standard Class,India,Bengaluru,62301,Central,OFF-AR-10001954,Plain Full sleeves,19.56,17.8485,5,1.7115,10,Late delivery,Regular Air
674,CA-2017-130351,43074,43077,First Class,India,Bengaluru,47201,Central,OFF-AP-10004532,Plain Full sleeves,61.44,44.8512,3,16.5888,3,Advance shipping,Regular Air
675,CA-2017-130351,43074,43077,First Class,India,Bengaluru,47201,Central,OFF-PA-10002137,Plain Full sleeves,38.9,21.395,5,17.505,3,Shipping on time,Delivery Truck
676,CA-2017-130351,43074,43077,First Class,India,Bengaluru,47201,Central,TEC-AC-10003832,Plain Full sleeves,99.39,58.6401,3,40.7499,3,Shipping on time,Regular Air
677,US-2017-119438,42812,42817,Standard Class,India,Bengaluru,75701,Central,OFF-AP-10000804,Plain Full sleeves,2.688,10.08,3,-7.392,10,Late delivery,Regular Air
678,US-2017-119438,42812,42817,Standard Class,India,Bengaluru,75701,Central,TEC-AC-10003614,Plain Full sleeves,27.816,23.2959,3,4.5201,10,Advance shipping,Express Air
679,US-2017-119438,42812,42817,Standard Class,India,Bengaluru,75701,Central,FUR-FU-10003553,Plain Full sleeves,82.524,123.786,3,-41.262,10,Late delivery,Delivery Truck
680,US-2017-119438,42812,42817,Standard Class,India,Bengaluru,75701,Central,OFF-BI-10004632,Plain Full sleeves,182.994,503.2335,3,-320.2395,10,Advance shipping,Regular Air
681,CA-2016-164511,42693,42698,Standard Class,India,Bengaluru,10024,East,OFF-BI-10003305,Plain Full sleeves,14.352,9.6876,3,4.6644,10,Shipping on time,Regular Air
682,CA-2016-164511,42693,42698,Standard Class,India,Bengaluru,10024,East,OFF-ST-10002583,Plain Full sleeves,64.96,62.3616,2,2.5984,10,Shipping canceled,Regular Air
683,CA-2016-164511,42693,42698,Standard Class,India,Bengaluru,10024,East,OFF-ST-10004507,Collar necked ,68.6,50.078,4,18.522,10,Shipping canceled,Delivery Truck
684,US-2017-168116,43043,43043,First Class,India,Bengaluru,27217,South,TEC-MA-10004125,Collar necked ,7999.98,11839.9704,4,-3839.9904,3,Shipping canceled,Express Air
685,US-2017-168116,43043,43043,First Class,India,Bengaluru,27217,South,OFF-AP-10002457,Collar necked ,167.44,152.789,2,14.651,3,Shipping canceled,Delivery Truck
686,CA-2014-157784,41825,41828,First Class,India,Bengaluru,39212,South,TEC-AC-10003911,Collar necked ,479.97,316.7802,3,163.1898,3,Shipping canceled,Regular Air
687,CA-2014-157784,41825,41828,First Class,India,Bengaluru,39212,South,OFF-LA-10001934,Collar necked ,14.62,7.7486,2,6.8714,3,Shipping canceled,Regular Air
688,CA-2014-157784,41825,41828,First Class,India,Bengaluru,39212,South,OFF-PA-10000304,Collar necked ,19.44,10.1088,3,9.3312,3,Shipping canceled,Regular Air
689,CA-2017-161480,43094,43098,Standard Class,India,Bengaluru,10035,East,FUR-BO-10004015,Collar necked ,191.984,187.1844,2,4.79959999999998,10,Shipping canceled,Regular Air
690,US-2014-117135,41811,41813,Second Class,India,Bengaluru,22980,South,FUR-FU-10004071,Collar necked ,104.01,89.4486,1,14.5614,7,Shipping canceled,Regular Air
691,US-2014-117135,41811,41813,Second Class,India,Bengaluru,22980,South,TEC-PH-10002033,Collar necked ,284.82,210.7668,1,74.0532,7,Shipping canceled,Regular Air
692,US-2014-117135,41811,41813,Second Class,India,Bengaluru,22980,South,OFF-ST-10002444,Collar necked ,36.84,26.5248,3,10.3152,7,Shipping canceled,Regular Air
693,CA-2015-131534,42091,42096,Standard Class,India,Bengaluru,90036,West,TEC-AC-10002253,Collar necked ,166.24,141.304,1,24.936,10,Shipping canceled,Regular Air
694,CA-2015-131534,42091,42096,Standard Class,India,Bengaluru,90036,West,OFF-PA-10000743,Collar necked ,33.4,17.368,5,16.032,10,Shipping canceled,Express Air
695,CA-2015-119291,42138,42141,First Class,India,Bengaluru,19013,East,OFF-AR-10003373,Collar necked ,198.272,180.9232,8,17.3488,3,Shipping canceled,Regular Air
696,CA-2015-119291,42138,42141,First Class,India,Bengaluru,19013,East,OFF-LA-10002312,Collar necked ,47.36,29.6,4,17.76,3,Shipping canceled,Regular Air
697,CA-2015-119291,42138,42141,First Class,India,Mysore,19013,East,OFF-EN-10000927,Collar necked ,200.984,138.1765,7,62.8075,3,Shipping canceled,Regular Air
698,CA-2015-119291,42138,42141,First Class,India,Mysore,19013,East,OFF-LA-10003510,Collar necked ,97.696,65.9448,4,31.7512,3,Shipping canceled,Regular Air
699,CA-2015-119291,42138,42141,First Class,India,Mysore,19013,East,OFF-AR-10001118,Collar necked ,2.696,1.8872,1,0.8088,3,Advance shipping,Regular Air
700,CA-2015-119291,42138,42141,First Class,India,Mysore,19013,East,OFF-BI-10001575,Collar necked ,18.588,32.2192,2,-13.6312,3,Late delivery,Regular Air
701,CA-2015-119291,42138,42141,First Class,India,Mysore,19013,East,OFF-BI-10001982,Collar necked ,4.896,8.3232,3,-3.4272,3,Late delivery,Regular Air
702,CA-2017-114552,42980,42986,Standard Class,India,Mysore,44105,East,FUR-FU-10002960,Collar necked ,15.072,10.9272,3,4.1448,10,Advance shipping,Regular Air
703,CA-2016-163755,42678,42682,Second Class,India,Mysore,98103,West,FUR-FU-10003394,Collar necked ,209.88,174.2004,3,35.6796,7,Advance shipping,Regular Air
704,CA-2015-142027,42103,42108,Standard Class,India,Mysore,90805,West,FUR-TA-10002774,Collar necked ,369.912,383.7837,3,-13.8717,10,Advance shipping,Regular Air
